0 RMx(value) RMy(value) RFz(value) 
0.00491228 0 0 0 
0.00988887 0 0 0 
0.0149022 0 0 0 
0.0198592 0 0 0 
0.0248595 0 0 0 
0.0298599 0 0 0 
0.0348824 0 0 0 
0.0398596 0 0 0 
0.0448593 0 0 0 
0.0498597 0 0 0 
0.0548603 0 0 0 
0.0598895 0 0 0 
0.0648599 0 0 0 
0.0698894 0 0 0 
0.074901 0 0 0 
0.0798895 0 0 0 
0.0849162 0 0 0 
0.0898893 0 0 0 
0.094889 0 0 0 
0.0998895 0 0 0 
0.104889 0 0 0 
0.109861 0 0 0 
0.114852 0 0 0 
0.119896 0 0 0 
0.124906 0 0 0 
0.129893 0 0 0 
0.134923 0 0 0 
0.139893 0 0 0 
0.144892 0 0 0 
0.149892 0 0 0 
0.154906 0 0 0 
0.159893 0 0 0 
0.164909 0 0 0 
0.169893 0 0 0 
0.174906 0 0 0 
0.179893 0 0 0 
0.184915 0 0 0 
0.189864 0 0 0 
0.194893 0 0 0 
0.199893 0 0 0 
0.204904 0 0 0 
0.209893 0 0 0 
0.214893 0 0 0 
0.219893 0 0 0 
0.224892 0 0 0 
0.229893 0 0 0 
0.234888 0 0 0 
0.239895 0 0 0 
0.244894 0 0 0 
0.249894 0 0 0 
0.254893 0 0 0 
0.259893 0 0 0 
0.264893 0 0 0 
0.269898 0 0 0 
0.274896 0 0 0 
0.279893 0 0 0 
0.284914 0 0 0 
0.289893 0 0 0 
0.294894 0 0 0 
0.299893 0 0 0 
0.304893 0 0 0 
0.309851 0 0 0 
0.314893 0 0 0 
0.319893 0 0 0 
0.324893 0 0 0 
0.329893 0 0 0 
0.334917 0 0 0 
0.339893 0 0 0 
0.344892 0 0 0 
0.349893 0 0 0 
0.354861 0 0 0 
0.359894 0 0 0 
0.364893 0 0 0 
0.369827 0 0 0 
0.374894 0 0 0 
0.379893 0 0 0 
0.384847 0 0 0 
0.389869 0 0 0 
0.394893 0 0 0 
0.399893 0 0 0 
0.404894 0 0 0 
0.409893 0 0 0 
0.414893 0 0 0 
0.419893 0 0 0 
0.424893 0 0 0 
0.429893 0 0 0 
0.434919 0 0 0 
0.439893 0 0 0 
0.444892 0 0 0 
0.449893 0 0 0 
0.454893 0 0 0 
0.459894 0 0 0 
0.464893 0 0 0 
0.469894 0 0 0 
