0 X(value) Y(value) Z(value) 
0.00478962 0.00931497 3.50287 5.50281 
0.00973625 0.00931497 3.50478 5.50485 
0.0147818 0.0193026 3.50728 5.50782 
0.0197142 0.0193026 3.50979 5.50985 
0.0247819 0.0292998 3.51229 5.51281 
0.0297364 0.0292998 3.5148 5.51485 
0.0347812 0.0392941 3.51729 5.51781 
0.0397135 0.0392941 3.51979 5.51983 
0.0447743 0.0492499 3.52228 5.5228 
0.0497121 0.0492499 3.5248 5.52482 
0.0547519 0.0592717 3.52729 5.5278 
0.0597122 0.0592717 3.5298 5.5298 
0.0647878 0.0692153 3.53226 5.53279 
0.0697431 0.0692153 3.53479 5.53482 
0.0747842 0.0792246 3.53725 5.53778 
0.0797443 0.0792246 3.53978 5.53981 
0.0847851 0.0891886 3.54224 5.54276 
0.0897435 0.0891886 3.54476 5.54479 
0.0947848 0.0991035 3.54723 5.54774 
0.099742 0.0991035 3.54973 5.54977 
0.104785 0.10909 3.55221 5.55271 
0.109743 0.10909 3.55469 5.55474 
0.114785 0.119024 3.55717 5.55768 
0.119712 0.119024 3.55965 5.5597 
0.124751 0.128948 3.56212 5.56265 
0.129709 0.128948 3.56462 5.56465 
0.134752 0.138829 3.5671 5.56761 
0.139722 0.138829 3.56959 5.56961 
0.144756 0.148744 3.57204 5.57256 
0.149713 0.148744 3.57454 5.57455 
0.154756 0.158606 3.57698 5.5775 
0.159711 0.158606 3.57948 5.57949 
0.164753 0.168472 3.58192 5.58244 
0.169743 0.168472 3.58441 5.58444 
0.174788 0.178307 3.58685 5.58736 
0.179744 0.178307 3.58934 5.58937 
0.184785 0.188156 3.59177 5.59228 
0.189743 0.188156 3.59425 5.59427 
0.194767 0.19799 3.59668 5.5972 
0.199742 0.19799 3.59916 5.59919 
0.204785 0.207782 3.60158 5.60209 
0.209742 0.207782 3.60405 5.60408 
0.214743 0.217554 3.60647 5.60698 
0.219742 0.217554 3.60894 5.60897 
0.224743 0.227303 3.61134 5.61186 
0.229739 0.227303 3.61379 5.61384 
0.234784 0.23703 3.61622 5.61672 
0.239742 0.23703 3.61866 5.61869 
0.244785 0.246732 3.62107 5.62158 
0.249742 0.246732 3.62351 5.62356 
0.254785 0.256411 3.62591 5.62642 
0.259716 0.256411 3.62834 5.62838 
0.264755 0.266042 3.63074 5.63126 
0.269712 0.266042 3.63315 5.6332 
0.274755 0.275662 3.63556 5.63608 
0.279713 0.275662 3.63801 5.63801 
0.284743 0.285267 3.64038 5.64088 
0.289749 0.285267 3.6428 5.64283 
0.294756 0.2948 3.64516 5.64568 
0.299745 0.2948 3.64757 5.64762 
0.304743 0.304355 3.64996 5.65044 
0.309728 0.304355 3.65236 5.65236 
0.31479 0.31392 3.65471 5.6552 
0.319742 0.31392 3.65711 5.65711 
0.324781 0.3234 3.65945 5.65995 
0.329739 0.3234 3.66183 5.66188 
0.334784 0.332835 3.6642 5.66467 
0.339742 0.332835 3.66657 5.6666 
0.344785 0.342247 3.66891 5.66939 
0.349743 0.342247 3.67126 5.6713 
0.354784 0.351626 3.6736 5.67409 
0.359709 0.351626 3.67594 5.67598 
0.364771 0.36097 3.67827 5.67877 
0.369715 0.36097 3.68061 5.68065 
0.374751 0.370276 3.68293 5.68343 
0.37973 0.370276 3.68526 5.68529 
0.384751 0.37952 3.68759 5.68807 
0.389743 0.37952 3.68993 5.68994 
0.394788 0.388786 3.69221 5.69269 
0.399741 0.388786 3.69453 5.69457 
0.404784 0.397936 3.69683 5.6973 
0.409745 0.397936 3.69912 5.69917 
0.414789 0.407127 3.7014 5.70188 
0.419742 0.407127 3.70369 5.70375 
0.424781 0.416241 3.70597 5.70644 
0.429725 0.416241 3.70827 5.70828 
0.434762 0.425301 3.71051 5.711 
0.439721 0.425301 3.71277 5.71282 
0.444755 0.434321 3.71504 5.71551 
0.449741 0.434321 3.71731 5.71735 
0.454784 0.443328 3.71954 5.72001 
0.459741 0.443328 3.72179 5.72184 
0.464784 0.452268 3.72402 5.72449 
0.469718 0.452268 3.72627 5.72631 
0.474754 0.461164 3.72848 5.72895 
0.479711 0.461164 3.73073 5.73074 
0.484743 0.469978 3.73292 5.73338 
0.489711 0.469978 3.73515 5.73516 
0.494744 0.47879 3.73733 5.73779 
0.499748 0.47879 3.73955 5.73958 
0.504742 0.487544 3.74172 5.74218 
0.509763 0.487544 3.74393 5.74396 
0.514743 0.496243 3.74608 5.74654 
0.519761 0.496243 3.74828 5.74831 
0.524739 0.504903 3.75042 5.75088 
0.529754 0.504903 3.75261 5.75264 
0.534785 0.513506 3.75474 5.75519 
0.539747 0.513506 3.75691 5.75694 
0.544785 0.522102 3.75903 5.75948 
0.549742 0.522102 3.76119 5.76122 
0.554785 0.530599 3.76329 5.76374 
0.559717 0.530599 3.76544 5.76547 
0.564742 0.539048 3.76753 5.76797 
0.569741 0.539048 3.76965 5.76969 
0.574785 0.547444 3.77173 5.77218 
0.579742 0.547444 3.77385 5.77389 
0.584785 0.555785 3.77592 5.77636 
0.589742 0.555785 3.77802 5.77807 
0.594784 0.56407 3.78008 5.78051 
0.599716 0.56407 3.78214 5.78219 
0.604786 0.5723 3.7842 5.78464 
0.609717 0.5723 3.78626 5.7863 
0.614752 0.580446 3.78831 5.78873 
0.61973 0.580446 3.79036 5.79038 
0.62474 0.588585 3.79238 5.79281 
0.629741 0.588585 3.79443 5.79444 
0.634743 0.596605 3.79642 5.79685 
0.639762 0.596605 3.79845 5.79848 
0.644788 0.604602 3.80043 5.80085 
0.649758 0.604602 3.80245 5.80248 
0.654784 0.61257 3.80441 5.80483 
0.659756 0.61257 3.80641 5.80645 
0.664785 0.620442 3.80836 5.80877 
0.669711 0.620442 3.81033 5.81035 
0.674754 0.628254 3.81229 5.81269 
0.679711 0.628254 3.81425 5.81426 
0.684744 0.63597 3.81617 5.81658 
0.689761 0.63597 3.81813 5.81816 
0.694756 0.643656 3.82003 5.82043 
0.699771 0.643656 3.82197 5.822 
0.704789 0.651297 3.82386 5.82426 
0.709743 0.651297 3.82578 5.82581 
0.714785 0.658868 3.82764 5.82804 
0.719758 0.658868 3.82955 5.82958 
0.72478 0.666353 3.83141 5.8318 
0.72973 0.666353 3.83329 5.83333 
0.734784 0.673776 3.83515 5.83553 
0.739711 0.673776 3.837 5.83704 
0.744784 0.681132 3.83884 5.83922 
0.749731 0.681132 3.84067 5.8407 
0.754784 0.688419 3.84249 5.84287 
0.759713 0.688419 3.84431 5.84434 
0.764785 0.695637 3.84612 5.84649 
0.769709 0.695637 3.84794 5.84794 
0.774752 0.702764 3.84971 5.85008 
0.779751 0.702764 3.85151 5.85154 
0.784784 0.709836 3.85326 5.85363 
0.789743 0.709836 3.85505 5.85508 
0.794756 0.716853 3.85678 5.85715 
0.799715 0.716853 3.85853 5.85856 
0.804788 0.723792 3.86027 5.86063 
0.809718 0.723792 3.86202 5.86204 
0.814785 0.730673 3.86372 5.86408 
0.819742 0.730673 3.86545 5.86547 
0.824782 0.737464 3.86714 5.86749 
0.829739 0.737464 3.86883 5.86887 
0.834784 0.74416 3.87051 5.87087 
0.839756 0.74416 3.87219 5.87222 
0.844784 0.750802 3.87384 5.8742 
0.84972 0.750802 3.87551 5.87554 
0.854784 0.757394 3.87715 5.87749 
0.859715 0.757394 3.87879 5.87881 
0.864785 0.763864 3.88041 5.88075 
0.869712 0.763864 3.88204 5.88205 
0.874743 0.770297 3.88364 5.88398 
0.87976 0.770297 3.88525 5.88527 
0.884785 0.776618 3.88682 5.88715 
0.889715 0.776618 3.8884 5.88844 
0.894788 0.7829 3.88997 5.8903 
0.899712 0.7829 3.89153 5.89156 
0.904784 0.78906 3.89308 5.89341 
0.909711 0.78906 3.89463 5.89465 
0.914756 0.795182 3.89616 5.89647 
0.919712 0.795182 3.89769 5.8977 
0.924755 0.801206 3.89918 5.8995 
0.929717 0.801206 3.9007 5.90071 
0.934755 0.80713 3.90217 5.90248 
0.939763 0.80713 3.90366 5.90369 
0.944735 0.812994 3.90513 5.90543 
0.949788 0.812994 3.90659 5.90663 
0.954785 0.818794 3.90804 5.90834 
0.959746 0.818794 3.90948 5.90951 
0.964784 0.824494 3.91091 5.9112 
0.969759 0.824494 3.91233 5.91236 
0.974784 0.830111 3.91373 5.91403 
0.979717 0.830111 3.91513 5.91517 
0.984786 0.835646 3.91651 5.91681 
0.989711 0.835646 3.9179 5.91793 
0.994784 0.841096 3.91926 5.91955 
0.999713 0.841096 3.92062 5.92065 
1.00475 0.846446 3.92196 5.92225 
1.00975 0.846446 3.92332 5.92334 
1.01474 0.851728 3.92463 5.92491 
1.01975 0.851728 3.92596 5.92597 
1.02474 0.856921 3.92725 5.92752 
1.02972 0.856921 3.92856 5.92857 
1.03472 0.862045 3.92983 5.9301 
1.03972 0.862045 3.9311 5.93112 
1.04478 0.867065 3.93235 5.93262 
1.04974 0.867065 3.93361 5.93364 
1.05478 0.872016 3.93485 5.9351 
1.05975 0.872016 3.93609 5.93611 
1.06478 0.876868 3.93729 5.93755 
1.06974 0.876868 3.93851 5.93853 
1.07478 0.881631 3.93969 5.93994 
1.07972 0.881631 3.94089 5.94091 
1.08479 0.886306 3.94206 5.9423 
1.08973 0.886306 3.94323 5.94325 
1.09478 0.890893 3.94437 5.94461 
1.09975 0.890893 3.94552 5.94554 
1.10476 0.895373 3.94664 5.94687 
1.10974 0.895373 3.94777 5.94779 
1.11479 0.899781 3.94886 5.94909 
1.11976 0.899781 3.94997 5.94998 
1.12478 0.904122 3.95104 5.95127 
1.12974 0.904122 3.95213 5.95214 
1.13478 0.908347 3.95318 5.9534 
1.13975 0.908347 3.95424 5.95426 
1.14478 0.912483 3.95527 5.95548 
1.14974 0.912483 3.95631 5.95632 
1.15478 0.916529 3.95731 5.95752 
1.15975 0.916529 3.95833 5.95834 
1.16479 0.920483 3.95931 5.95952 
1.16976 0.920483 3.9603 5.96032 
1.17478 0.924344 3.96126 5.96146 
1.17974 0.924344 3.96223 5.96224 
1.18476 0.928098 3.96317 5.96337 
