DATA LENGTH(steps) :
2489
STEP LENGTH(sec) :
0.005000

PCz,         PEL_Q0,      PEL_Q1,      PEL_Q2,      PEL_Q3,      WST,         RSP,         RSR,         RSY,         REP,         REY,         LSP,         LSR,         LSY,         LEP,         LEY,         PCzp,        wPELx,       wPELy,       wPELz,       WSTp,        RSPp,        RSRp,        RSYp,        REPp,        REYp,        LSPp,        LSRp,        LSYp,        LEPp,        LEYp,        PCzpp,       WSTpp,       RSPpp,       RSRpp,       RSYpp,       REPpp,       REYpp,       LSPpp,       LSRpp,       LSYpp,       LEPpp,       LEYpp

0.621000     1.000000     0.000000     0.000000     0.000000     -0.021173    0.210138     -0.644758    0.019395     -0.633636    0.000000     0.103365     0.586294     -0.128695    -0.610712    0.000000     0.000163     -0.006476    0.004741     -0.020244    -0.031517    -0.041488    0.032761     -0.015262    0.009764     0.044921     0.050644     0.032285     0.037914     0.007491     0.070905     0.056389     0.073943     0.663575     -0.270826    0.166930     -0.333297    -1.142604    -0.849600    -0.391486    -0.768823    0.130864     -0.803840   
0.621001     1.000000     -0.000016    0.000012     -0.000051    -0.021331    0.209930     -0.644594    0.019319     -0.633587    0.000225     0.103618     0.586455     -0.128506    -0.610674    0.000355     0.000260     -0.006309    0.004705     -0.018154    -0.031327    -0.039777    0.032057     -0.014837    0.008875     0.042013     0.048490     0.031286     0.036038     0.007845     0.068881     0.038826     0.076184     0.684574     -0.281706    0.169946     -0.355328    -1.163266    -0.861645    -0.399693    -0.750227    0.141583     -0.809546   
0.621003     1.000000     -0.000032    0.000024     -0.000091    -0.021487    0.209740     -0.644437    0.019247     -0.633548    0.000420     0.103849     0.586607     -0.128335    -0.610633    0.000689     0.000378     -0.005979    0.004634     -0.013977    -0.030940    -0.036301    0.030621     -0.013980    0.007043     0.036145     0.044151     0.029267     0.032334     0.008579     0.064819     0.008280     0.078424     0.705572     -0.292586    0.172961     -0.377359    -1.183928    -0.873690    -0.407900    -0.731632    0.152302     -0.815252   
0.621005     1.000000     -0.000046    0.000035     -0.000120    -0.021640    0.209567     -0.644288    0.019179     -0.633517    0.000586     0.104059     0.586748     -0.128182    -0.610588    0.001003     0.000408     -0.005658    0.004563     -0.009803    -0.030543    -0.032721    0.029131     -0.013107    0.005102     0.030173     0.039753     0.027207     0.028722     0.009368     0.060728     0.003701     0.080665     0.726571     -0.303466    0.175976     -0.399389    -1.204590    -0.885735    -0.416107    -0.713037    0.163021     -0.820958   
0.621007     1.000000     -0.000060    0.000046     -0.000140    -0.021792    0.209413     -0.644146    0.019116     -0.633497    0.000722     0.104247     0.586879     -0.128048    -0.610540    0.001296     0.000427     -0.005345    0.004495     -0.005638    -0.030131    -0.029062    0.027596     -0.012218    0.003076     0.024118     0.035307     0.025119     0.025175     0.010192     0.056620     0.003920     0.084223     0.737183     -0.310420    0.179680     -0.410802    -1.217400    -0.892442    -0.418956    -0.705755    0.166551     -0.822517   
0.621009     1.000000     -0.000073    0.000057     -0.000149    -0.021942    0.209277     -0.644012    0.019057     -0.633486    0.000827     0.104412     0.586999     -0.127931    -0.610487    0.001569     0.000449     -0.005038    0.004433     -0.001505    -0.029687    -0.025453    0.026066     -0.011304    0.001100     0.018078     0.030882     0.023071     0.021551     0.010961     0.052544     0.005018     0.093048     0.706252     -0.301669    0.186138     -0.379745    -1.198798    -0.877800    -0.400370    -0.743727    0.141327     -0.807488   
0.621011     1.000000     -0.000085    0.000069     -0.000147    -0.022089    0.209158     -0.643885    0.019003     -0.633486    0.000903     0.104556     0.587109     -0.127832    -0.610430    0.001822     0.000476     -0.004728    0.004380     0.002591     -0.029215    -0.022000    0.024575     -0.010354    -0.000723    0.012130     0.026526     0.021107     0.017757     0.011618     0.048545     0.005835     0.095852     0.674957     -0.294649    0.193660     -0.349437    -1.180575    -0.864609    -0.385377    -0.774152    0.121500     -0.792509   
0.621014     1.000000     -0.000096    0.000079     -0.000136    -0.022234    0.209057     -0.643766    0.018954     -0.633493    0.000949     0.104678     0.587210     -0.127753    -0.610370    0.002054     0.000507     -0.004389    0.004326     0.006731     -0.028802    -0.018603    0.023063     -0.009363    -0.002508    0.006190     0.022168     0.019128     0.013998     0.012302     0.044577     0.006450     0.069306     0.683751     -0.310257    0.202685     -0.364597    -1.195278    -0.878573    -0.406192    -0.729136    0.152015     -0.794316   
0.621016     1.000000     -0.000107    0.000090     -0.000114    -0.022377    0.208972     -0.643654    0.018909     -0.633511    0.000965     0.104778     0.587301     -0.127692    -0.610307    0.002267     0.000541     -0.004010    0.004264     0.010971     -0.028501    -0.015149    0.021473     -0.008344    -0.004381    0.000173     0.017737     0.017047     0.010461     0.013138     0.040600     0.007321     0.051143     0.698025     -0.325705    0.204846     -0.384653    -1.211315    -0.893798    -0.426241    -0.685764    0.182156     -0.796530   
